Trajectory file for run 'run1'; etymon number :1298:
#wˌen̪erisd̪ˈiːem# >>> #væ̃d̪ʁd̪i# ( Correct : #vɑ̃d̪ʁəd̪i#) :
w ˌe n̪ e r i s d̪ ˈiː e m 
#ɣʷˌen̪erisd̪ˈiːem# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛn̪ɛrɪsd̪ˈiːɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛrɪsd̪ˈiːɛm# | Rule 49 : ɣʷ > βʷ 
#βʷˌɛn̪ɛrɪsd̪ˈiɛm# | Rule 53 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛresd̪ˈiɛm# | Rule 63 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛn̪ɛresd̪ˈiɛ# | Rule 68 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#βʷˌɛn̪ɛresd̪ˈiːɛ# | Rule 101 : [+prim] > [+long] / __ [+syl]
#βˌɛn̪ɛresd̪ˈiːɛ# | Rule 119 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛn̪ərəsd̪ˈiːɛ# | Rule 240 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛn̪ərəsd̪ˈiːə# | Rule 241 : [-stres,-lo,+syl] > ə / __ #
#βˌɛn̪ə̯rə̯sd̪ˈiːə̯# | Rule 243 : ə > ə̯ 
#βˌɛn̪ɾəsd̪ˈiːə̯# | Rule 262 : ə̯ r ə̯ > ɾ ə 
#βˌɛn̪rəsd̪ˈiːə̯# | Rule 267 : ɾ > r 
#βˌɛn̪rəsd̪ˈiː# | Rule 270 : ə̯ > ∅ 
#βˌɛn̪d̪rəsd̪ˈiː# | Rule 358 : ∅ > d̪ / n̪ __ r
#βˌen̪d̪rəsd̪ˈiː# | Rule 363 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#vˌen̪d̪rəsd̪ˈiː# | Rule 368 : β > v 
#vˌen̪d̪rəzd̪ˈiː# | Rule 403 : s > z / __ [+voi,+cons]
#vˌen̪d̪rəðd̪ˈiː# | Rule 423 : z > ð / __ [+cor,+ant,+distr,+voi,+cons]
#vˌẽn̪d̪rəðd̪ˈiː# | Rule 442 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌɛ̃n̪d̪rəðd̪ˈiː# | Rule 468 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#vˌæ̃n̪d̪rəðd̪ˈiː# | Rule 473 : [+nas,-hi,+syl] > [+lo] 
#vˌæ̃n̪d̪rəd̪ˈiː# | Rule 483 : {θ;ð} > {∅;∅} 
#vˌæ̃n̪d̪rd̪ˈiː# | Rule 566 : ə > ∅ / r __ [+cons]
#vˌæ̃ːd̪rd̪ˈiː# | Rule 576 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌæ̃ːd̪ʀd̪ˈiː# | Rule 607 : r > ʀ 
#væ̃ːd̪ʀd̪iː# | Rule 608 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#væ̃d̪ʀd̪i# | Rule 609 : [+syl,+long] > [-long,-splng] 
#væ̃d̪ʁd̪i# | Rule 615 : ʀ > ʁ 
